0.0,51
0.0,52
0.0,50
0.0,52
0.02,49
0.05,49
0.07,51
0.1,47
0.12,50
0.15,51
0.17,49
0.2,52
0.22,50
0.25,50
0.27,52
0.3,48
0.0,51
0.02,47
0.05,50
0.07,48
0.1,49
0.12,52
0.15,49
0.17,52
0.2,52
0.22,49
0.25,51
0.27,48
0.3,48
0.32,50
0.35,47
0.38,51
0.4,52
0.43,49
0.45,52
0.48,50
0.5,49
0.53,52
0.55,48
0.58,50
0.6,51
0.63,47
0.65,51
0.68,51
0.7,49
0.73,52
0.76,50
0.78,50
0.81,52
0.83,49
0.86,52
0.88,51
0.91,48
0.93,51
0.96,48
0.98,47
1.01,51
1.03,49
1.06,52
1.08,52
1.11,50
1.14,52
1.16,51
1.19,48
0.0,48
0.01,51
0.03,51
0.06,49
0.08,52
0.11,49
0.13,48
0.16,51
0.18,48
0.21,51
0.23,52
0.26,50
0.29,52
0.31,50
0.34,49
0.36,51
0.39,48
0.41,51
0.44,50
0.46,49
0.49,52
0.51,50
0.54,50
0.56,53
0.59,49
0.61,52
0.64,51
0.67,48
0.69,51
0.72,48
0.74,49
0.77,52
0.79,50
0.82,52
0.84,52
0.87,49
0.89,51
0.92,48
0.94,48
0.97,51
0.99,49
1.02,52
1.05,52
1.07,50
1.1,51
1.12,48
1.15,49
1.17,50
1.2,48
1.22,52
1.25,52
1.27,49
1.3,52
1.32,49
1.35,48
1.37,50
1.4,47
1.43,51
1.45,52
1.48,50
1.5,52
1.53,50
1.55,49
1.58,51
1.6,48
1.63,51
1.65,52
1.68,48
1.7,52
1.73,49
1.75,49
1.78,52
1.81,48
1.83,51
1.86,51
1.88,49
1.91,52
1.93,49
1.96,49
1.98,51
2.01,48
2.03,51
2.06,52
2.08,50
2.11,52
2.13,48
2.16,50
2.18,51
2.21,47
2.24,51
2.26,52
2.29,50
2.31,52
2.34,50
2.36,49
2.39,51
2.41,47
2.44,51
2.46,52
2.49,50
2.51,52
2.54,48
2.56,48
2.59,50
2.62,48
2.64,52
2.67,52
2.69,49
2.72,52
2.74,48
2.77,47
2.79,51
2.82,49
2.84,49
2.87,51
2.89,48
2.92,51
2.94,47
2.97,49
3.0,52
3.02,51
3.05,50
3.07,50
3.1,49
3.12,50
0.02,51
0.07,50
0.1,51
0.13,50
0.15,50
0.18,51
0.2,50
0.0,51
0.01,50
0.04,52
0.06,49
0.09,50
0.11,50
0.02,51
0.07,50
0.1,51
0.13,50
0.0,52
0.0,52
0.0,51
0.0,52
0.0,50
0.0,50
0.0,51
0.0,50
0.0,50
0.0,49
0.02,50
0.07,49
0.1,50
0.13,50
0.02,47
0.07,44
0.1,47
0.13,44
0.15,44
0.18,47
0.2,44
0.23,48
0.25,48
0.28,45
0.3,48
0.33,44
0.35,45
0.38,48
0.4,45
0.43,47
0.45,47
0.48,44
0.51,47
0.53,44
0.56,44
0.58,48
0.61,45
0.63,49
0.66,49
0.68,45
0.71,49
0.73,46
0.76,46
0.78,49
0.81,45
0.83,46
0.86,49
0.89,45
0.91,49
0.94,45
0.96,46
0.99,49
1.01,45
1.04,48
1.06,47
1.09,44
1.11,47
1.14,45
1.16,45
1.19,49
1.21,46
1.24,47
1.26,49
1.29,45
1.32,49
1.34,48
1.37,44
1.39,47
1.42,44
1.44,44
1.47,48
1.49,47
1.52,46
1.54,46
1.57,47
1.59,47
1.62,47
1.64,47
1.67,47
1.7,47
1.72,47
1.75,47
1.77,47
1.8,47
1.82,47
1.85,46
1.87,47
1.9,47
1.92,48
1.95,47
1.97,47
2.0,47
2.02,45
2.05,46
2.08,45
